Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2001-10-04,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-10-04,BROWNS FERRY 2,100, , , , 
2001-10-04,BROWNS FERRY 3,100, , , , 
2001-10-04,BRUNSWICK 1,100, , , , 
2001-10-04,BRUNSWICK 2,100, , , , 
2001-10-04,CATAWBA 1,100, , , , 
2001-10-04,CATAWBA 2,0,2001-09-15,REFUELING OUTAGE - DEFUELED, , 
2001-10-04,CRYSTAL RIVER 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-04,FARLEY 1,92, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-04,FARLEY 2,100, , , , 
2001-10-04,HARRIS 1,0,2001-09-21,REFUELING OUTAGE - DEFUELED, , 
2001-10-04,HATCH 1,100, , , , 
2001-10-04,HATCH 2,0,2001-09-15,REFUELING OUTAGE, , 
2001-10-04,MCGUIRE 1,100, , , , 
2001-10-04,MCGUIRE 2,100, , , , 
2001-10-04,NORTH ANNA 1,0,2001-09-08,REFUELING OUTAGE, , 
2001-10-04,NORTH ANNA 2,100, , , , 
2001-10-04,OCONEE 1,100, , , , 
2001-10-04,OCONEE 2,100, , , , 
2001-10-04,OCONEE 3,100, , , , 
2001-10-04,ROBINSON 2,100, , , , 
2001-10-04,SAINT LUCIE 1,100, , , , 
2001-10-04,SAINT LUCIE 2,100, , , , 
2001-10-04,SEQUOYAH 1,100, , , , 
2001-10-04,SEQUOYAH 2,100, , , , 
2001-10-04,SUMMER 1,100, , , , 
2001-10-04,SURRY 1,85, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-04,SURRY 2,100, , , , 
2001-10-04,TURKEY POINT 3,0,2001-09-29,REFUELING OUTAGE,*, 
2001-10-04,TURKEY POINT 4,100, , , , 
2001-10-04,VOGTLE 1,100, , , , 
2001-10-04,VOGTLE 2,100, , , , 
2001-10-04,WATTS BAR 1,100, , , , 
2001-10-04,BRAIDWOOD 1,0,2001-09-21,REFUELING OUTAGE,*, 
2001-10-04,BRAIDWOOD 2,96, ,100% OF RATED ELECTRICAL CAPABILITY, , 
2001-10-04,BYRON 1,71, ,LOAD FOLLOWING,*, 
2001-10-04,BYRON 2,100, , , , 
2001-10-04,CLINTON 1,100, , , , 
2001-10-04,COOK 1,100, , , , 
2001-10-04,COOK 2,0,2001-08-30,MAINTENANCE OUTAGE,*, 
2001-10-04,DAVIS BESSE 1,100, , , , 
2001-10-04,DRESDEN 2,91, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-04,DRESDEN 3,100, , , , 
2001-10-04,DUANE ARNOLD 1,100, , , , 
2001-10-04,FERMI 2,100, , , , 
2001-10-04,KEWAUNEE 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-04,LASALLE 1,100, , , , 
2001-10-04,LASALLE 2,100, , , , 
2001-10-04,MONTICELLO 1,100, , , , 
2001-10-04,PALISADES 1,0,2001-06-20,MAINTENANCE OUTAGE, , 
2001-10-04,PERRY 1,100, , , , 
2001-10-04,POINT BEACH 1,100, , , , 
2001-10-04,POINT BEACH 2,100, , , , 
2001-10-04,PRAIRIE ISLAND 1,100, , , , 
2001-10-04,PRAIRIE ISLAND 2,100, , , , 
2001-10-04,QUAD CITIES 1,100, , , , 
2001-10-04,QUAD CITIES 2,100, , , , 
2001-10-04,ARKANSAS NUCLEAR 1,100, , , , 
2001-10-04,ARKANSAS NUCLEAR 2,100, , , , 
2001-10-04,CALLAWAY 1,100, , , , 
2001-10-04,COLUMBIA GENERATING,100, , , , 
2001-10-04,COMANCHE PEAK 1,100, , , , 
2001-10-04,COMANCHE PEAK 2,100, , , , 
2001-10-04,COOPER 1,100, , , , 
2001-10-04,DIABLO CANYON 1,100, , , , 
2001-10-04,DIABLO CANYON 2,100, , , , 
2001-10-04,FT CALHOUN 1,100, , , , 
2001-10-04,GRAND GULF 1,100, , , , 
2001-10-04,PALO VERDE 1,99, , , , 
2001-10-04,PALO VERDE 2,99, , , , 
2001-10-04,PALO VERDE 3,0,2001-09-28,REFUELING OUTAGE, , 
2001-10-04,RIVER BEND 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-04,SAN ONOFRE 2,98, , , , 
2001-10-04,SAN ONOFRE 3,100, , , , 
2001-10-04,SOUTH TEXAS 1,0,2001-10-02,REFUELING OUTAGE,*, 
2001-10-04,SOUTH TEXAS 2,0,2001-10-03,UNIT SHUTDOWN IN PROGRESS TO REPAIR FEEDWATER ISOLATION VALVE LEAK,*, 
2001-10-04,WATERFORD 3,100, , , , 
2001-10-04,WOLF CREEK 1,100, , , , 
2001-10-05,BEAVER VALLEY 1,0,2001-08-31,REFUELING OUTAGE - RCS HEATUP IN PROGRESS,*, 
2001-10-05,BEAVER VALLEY 2,100, , , , 
2001-10-05,CALVERT CLIFFS 1,100, , , , 
2001-10-05,CALVERT CLIFFS 2,100, , , , 
2001-10-05,FITZPATRICK 1,100, , , , 
2001-10-05,GINNA 1,100, , , , 
2001-10-05,HOPE CREEK 1,95, ,REDUCED POWER DUE TO FEEDWATER HEATER OUTAGE,*, 
2001-10-05,INDIAN POINT 2,100, , , , 
2001-10-05,INDIAN POINT 3,100, , , , 
2001-10-05,LIMERICK 1,100, , , , 
2001-10-05,LIMERICK 2,100, , , , 
2001-10-05,MILLSTONE 2,100, , , , 
2001-10-05,MILLSTONE 3,100, , , , 
2001-10-05,NINE MILE POINT 1,100, , , , 
2001-10-05,NINE MILE POINT 2,100, , , , 
2001-10-05,OYSTER CREEK 1,100, , , , 
2001-10-05,PEACH BOTTOM 2,100, , , , 
2001-10-05,PEACH BOTTOM 3,0,2001-09-14,REFUELING OUTAGE - CORE RELOAD IN PROGRESS, , 
2001-10-05,PILGRIM 1,100, , , , 
2001-10-05,SALEM 1,0,2001-09-24, ,*, 
2001-10-05,SALEM 2,100, , , , 
2001-10-05,SEABROOK 1,100, , , , 
2001-10-05,SUSQUEHANNA 1,100, , , , 
2001-10-05,SUSQUEHANNA 2,100, , , , 
2001-10-05,THREE MILE ISLAND 1,87, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-05,VERMONT YANKEE 1,100, , , , 
2001-10-05,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-10-05,BROWNS FERRY 2,100, , , , 
2001-10-05,BROWNS FERRY 3,100, , , , 
2001-10-05,BRUNSWICK 1,100, , , , 
2001-10-05,BRUNSWICK 2,100, , , , 
2001-10-05,CATAWBA 1,100, , , , 
2001-10-05,CATAWBA 2,0,2001-09-15,REFUELING OUTAGE - DEFUELED, , 
2001-10-05,CRYSTAL RIVER 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-05,FARLEY 1,92, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-05,FARLEY 2,100, , , , 
2001-10-05,HARRIS 1,0,2001-09-21,REFUELING OUTAGE - DEFUELED, , 
2001-10-05,HATCH 1,100, , , , 
2001-10-05,HATCH 2,0,2001-09-15,REFUELING OUTAGE, , 
2001-10-05,MCGUIRE 1,100, , , , 
2001-10-05,MCGUIRE 2,100, , , , 
2001-10-05,NORTH ANNA 1,0,2001-09-08,REFUELING OUTAGE, , 
2001-10-05,NORTH ANNA 2,100, , , , 
2001-10-05,OCONEE 1,100, , , , 
2001-10-05,OCONEE 2,100, , , , 
2001-10-05,OCONEE 3,100, , , , 
2001-10-05,ROBINSON 2,100, , , , 
2001-10-05,SAINT LUCIE 1,100, , , , 
2001-10-05,SAINT LUCIE 2,100, , , , 
2001-10-05,SEQUOYAH 1,100, , , , 
